iter	Logloss
0	0.6710948738
1	0.6481486296
2	0.625076955
3	0.6087710384
4	0.5902053337
5	0.5731322361
6	0.5581023289
7	0.5441389945
8	0.5315307177
9	0.519707635
10	0.5101948542
11	0.5007478459
12	0.4914157468
13	0.4838833034
14	0.4746361467
15	0.4678484645
16	0.460859278
17	0.4544793415
18	0.4489668147
19	0.4437892652
20	0.4378144853
21	0.4320404934
22	0.4261158416
23	0.4224333505
24	0.4187497025
25	0.4140962401
26	0.4116144284
27	0.4079332042
28	0.4053509984
29	0.4022348728
30	0.3987289043
31	0.3959905301
32	0.3931740991
33	0.3905916455
34	0.3885771824
35	0.3860871628
36	0.3844520762
37	0.3817801906
38	0.3787338863
39	0.3758519582
40	0.3734417306
41	0.3712602195
42	0.3696517118
43	0.3680333162
44	0.3654789288
45	0.3639587237
46	0.3628864495
47	0.3619296628
48	0.3598628681
49	0.3590493047
50	0.3580271862
51	0.3569516068
52	0.3558242743
53	0.3550622162
54	0.3542053553
55	0.3532062627
56	0.3524472068
57	0.3514496841
58	0.3508719709
59	0.3495536281
60	0.3487532578
61	0.347756341
62	0.3468419154
63	0.3455281722
64	0.344457165
65	0.3439749707
66	0.3432483604
67	0.3423615328
68	0.3416441494
69	0.341133035
70	0.3406048992
71	0.3392469496
72	0.3388317948
73	0.3383116464
74	0.3376587134
75	0.3364386438
76	0.3361109654
77	0.3355398626
78	0.3351016268
79	0.3346083879
80	0.3342463084
81	0.3337767012
82	0.3330721253
83	0.3326264805
84	0.3320501169
85	0.3317353837
86	0.3311874445
87	0.3307046994
88	0.329842743
89	0.329527817
90	0.3292026175
91	0.3289106073
92	0.3283987217
93	0.3280567211
94	0.3276999298
95	0.3267939599
96	0.326355972
97	0.3259476479
98	0.325264886
99	0.3250006941
100	0.3246274872
101	0.324073461
102	0.3236852983
103	0.3233055638
104	0.3229504527
105	0.3226768686
106	0.3224146599
107	0.3220952444
108	0.3216398769
109	0.3213510892
110	0.3211049655
111	0.3209182243
112	0.3202960569
113	0.3200848301
114	0.3198690587
115	0.319571347
116	0.3189130983
117	0.3187058376
118	0.3183103486
119	0.3181349
120	0.3180389404
121	0.3178502437
122	0.3176559558
123	0.3174869799
124	0.3171986053
125	0.316887976
126	0.3166780988
127	0.3165063686
128	0.3163205364
129	0.3161097227
130	0.3157713852
131	0.3155699912
132	0.3152734915
133	0.3150779091
134	0.3148538197
135	0.3145933737
136	0.31441787
137	0.3141668988
138	0.3139525045
139	0.3136110822
140	0.3134410872
141	0.3132330278
142	0.313113822
143	0.3125722727
144	0.3123733576
145	0.3122169412
146	0.3120779871
147	0.311956743
148	0.3117506668
149	0.3115222256
150	0.31131177
151	0.3111156918
152	0.3109617268
153	0.310592073
154	0.3103499981
155	0.3101304808
156	0.3099294449
157	0.3097141693
158	0.3095313943
159	0.3093678719
160	0.3091898068
161	0.3089908917
162	0.3088591262
163	0.3086710906
164	0.3084168692
165	0.3082057251
166	0.3080820573
167	0.3079706185
168	0.3077767713
169	0.3076321158
170	0.3074806021
171	0.3071978187
172	0.3070182387
173	0.3068640533
174	0.3066600428
175	0.3064492842
176	0.3062241757
177	0.306049223
178	0.3059357736
179	0.3057403014
180	0.3055892008
181	0.3054901839
182	0.3053825186
183	0.3052450242
184	0.305097339
185	0.3048945127
186	0.3047919704
187	0.3046139603
188	0.3045010343
189	0.3043362724
190	0.3041833816
191	0.304005702
192	0.3038310798
193	0.3036701189
194	0.3035429256
195	0.3033593243
196	0.3031984735
197	0.3030870073
198	0.3029475849
199	0.3027926834
200	0.3026732848
201	0.3024371867
202	0.3022275023
203	0.302107057
204	0.3019592891
205	0.3017578951
206	0.3015877899
207	0.3013859553
208	0.3011766565
209	0.3010180091
210	0.3008316811
211	0.3007055069
212	0.3006034328
213	0.3004572348
214	0.3003771951
215	0.3002576587
